"Universal Time","GOES secondary  Longwave","GOES secondary  Shortwave","GOES primary  Longwave","GOES primary  Shortwave"
"2024-05-17 15:45:00",0.000002053239541055518,3.124739933468845e-8,0.000002064915634036879,3.4698608430971944e-8
"2024-05-17 15:46:00",0.0000020096324533369625,2.8469351320836722e-8,0.0000020185009361739503,3.167363971101622e-8
"2024-05-17 15:47:00",0.0000019762399006140186,2.6180416057286493e-8,0.0000019860322026943322,2.8667100693269276e-8
"2024-05-17 15:48:00",0.0000019567210074455943,2.530500076147746e-8,0.0000019650301510409918,2.8238446247996762e-8
"2024-05-17 15:49:00",0.000001960620693353121,2.6790365481588196e-8,0.0000019695171431521885,2.988253200442159e-8
"2024-05-17 15:50:00",0.0000019835838429571595,2.8759741255157678e-8,0.0000019904659893654753,3.4192460418580595e-8
"2024-05-17 15:51:00",0.0000019911703930119984,2.9187475547587383e-8,0.000001998801963054575,3.3272634425429715e-8
"2024-05-17 15:52:00",0.000001989873908314621,2.883766470063165e-8,0.0000019958458779001376,3.3113135344819966e-8
"2024-05-17 15:53:00",0.000001973545977307367,2.9394941591931456e-8,0.0000019833764781651553,3.157284922394865e-8
"2024-05-17 15:54:00",0.000001967307980521582,2.943748711459193e-8,0.000001973477083083708,3.023028938287098e-8
"2024-05-17 15:55:00",0.0000020172210497548804,3.215893684682669e-8,0.0000020238612705725245,3.4508431667745754e-8
"2024-05-17 15:56:00",0.0000020571578716044314,3.300062800803971e-8,0.0000020620009308913723,3.562167805171157e-8
"2024-05-17 15:57:00",0.0000020119880446145544,3.0722848265440916e-8,0.000002017929773501237,3.364175071851605e-8
"2024-05-17 15:58:00",0.000001990245891647646,2.859662906473659e-8,0.000001998893367272103,3.305301987666098e-8
"2024-05-17 15:59:00",0.0000019988729036413133,3.0903933634363057e-8,0.000002005281430683681,3.4087843658880956e-8
"2024-05-17 16:00:00",0.000002019246039708378,3.335490106337602e-8,0.000002027550408456591,3.655020464066183e-8
"2024-05-17 16:01:00",0.0000020457223399716895,3.59923539861029e-8,0.00000205443052436749,3.9682543473418264e-8
"2024-05-17 16:02:00",0.0000021205235043453285,4.6350567828312705e-8,0.0000021285682123561855,4.734640413062152e-8
"2024-05-17 16:03:00",0.0000022670051293971483,6.428749799169964e-8,0.0000022750673451810144,6.569584343196766e-8
"2024-05-17 16:04:00",0.0000023086076907929964,6.478592950998063e-8,0.000002320379053344368,6.608154023979296e-8
"2024-05-17 16:05:00",0.0000022822200662631076,5.4910554325715566e-8,0.0000022981448637438007,5.8942649872051334e-8
"2024-05-17 16:06:00",0.0000022519366211781744,5.11915239087557e-8,0.000002264802787976805,5.3249060272264614e-8
"2024-05-17 16:07:00",0.000002214396317867795,4.509813678055252e-8,0.000002224789568572305,4.659736774215162e-8
"2024-05-17 16:08:00",0.0000021741848286183085,4.074206572113326e-8,0.0000021827393084095092,4.4709150159860656e-8
